source,chunk_id,char_count
PMC12644182.txt,820,994
PMC12644182.txt,821,872
PMC12644182.txt,822,859
PMC12644182.txt,823,715
PMC12644182.txt,824,954
PMC12644182.txt,825,832
PMC12644182.txt,826,970
PMC12644182.txt,827,979
PMC12644182.txt,828,933
PMC12644182.txt,829,500
PMC12644182.txt,830,891
PMC12644182.txt,831,774
PMC12644182.txt,832,818
PMC12644182.txt,833,848
PMC12644182.txt,834,907
PMC12644182.txt,835,994
PMC12644182.txt,836,923
PMC12644182.txt,837,812
PMC12644182.txt,838,760
PMC12644182.txt,839,973
PMC12644182.txt,840,920
PMC12644182.txt,841,988
PMC12644182.txt,842,988
PMC12644182.txt,843,784
PMC12644182.txt,844,801
PMC12644182.txt,845,866
PMC12644182.txt,846,880
PMC12644182.txt,847,802
PMC12644182.txt,848,1000
PMC12644182.txt,849,441
PMC12644182.txt,850,822
PMC12644182.txt,851,904
PMC12644182.txt,852,938
PMC12644182.txt,853,881
PMC12644182.txt,854,640
PMC12644182.txt,855,930
PMC12644182.txt,856,799
PMC12644182.txt,857,856
PMC12644182.txt,858,935
PMC12644182.txt,859,918
PMC12644182.txt,860,891
PMC12644182.txt,861,955
PMC12644182.txt,862,858
PMC12644182.txt,863,828
PMC12644182.txt,864,930
PMC12644182.txt,865,944
PMC12644182.txt,866,791
PMC12644182.txt,867,611
PMC12644182.txt,868,118
PMC12644182.txt,870,745
PMC12644182.txt,871,972
PMC12644182.txt,872,968
PMC12644182.txt,874,1083
PMC12644182.txt,875,993
PMC12644182.txt,876,416
PMC12644182.txt,877,718
PMC12644182.txt,878,874
PMC12644182.txt,879,996
PMC12644182.txt,880,480
PMC12644182.txt,881,933
PMC12644182.txt,882,944
PMC12644182.txt,883,697
PMC12644182.txt,884,938
PMC12644182.txt,885,841
PMC12644182.txt,886,984
PMC12644182.txt,887,767
PMC12644182.txt,888,771
PMC12644182.txt,889,546
PMC12644182.txt,890,940
PMC12644182.txt,891,857
PMC12644182.txt,892,856
PMC12644182.txt,893,978
PMC12644182.txt,894,912
PMC12644182.txt,895,932
PMC12644182.txt,896,707
PMC12644182.txt,897,118
PMC8712154.txt,898,141
PMC8712154.txt,900,961
PMC8712154.txt,901,903
PMC8712154.txt,902,141
PMC8712154.txt,904,943
PMC8712154.txt,905,738
PMC8712154.txt,906,141
PMC8712154.txt,908,939
PMC8712154.txt,909,832
PMC8712154.txt,910,598
PMC8712154.txt,911,141
PMC8712154.txt,912,134
PMC8712154.txt,913,969
PMC8712154.txt,914,501
PMC8712154.txt,915,561
PMC8712154.txt,916,163
PMC8712154.txt,917,993
PMC8712154.txt,918,913
PMC8712154.txt,919,991
PMC8712154.txt,920,988
PMC8712154.txt,921,561
PMC8712154.txt,922,693
PMC8712154.txt,923,696
PMC8712154.txt,924,769
PMC8712154.txt,925,133
PMC8712154.txt,926,964
PMC8712154.txt,927,933
PMC8712154.txt,928,923
PMC8712154.txt,929,785
PMC8712154.txt,930,769
PMC8712154.txt,931,136
PMC8712154.txt,932,744
PMC8712154.txt,933,996
PMC8712154.txt,934,332
PMC8712154.txt,935,822
PMC8712154.txt,936,909
PMC8712154.txt,937,769
PMC8712154.txt,938,856
PMC8712154.txt,939,725
PMC8712154.txt,940,177
PMC8712154.txt,941,968
PMC8712154.txt,942,943
PMC8712154.txt,943,951
PMC8712154.txt,944,926
PMC8712154.txt,945,993
PMC8712154.txt,946,907
PMC8712154.txt,947,725
PMC8712154.txt,948,893
PMC8712154.txt,949,145
PMC8712154.txt,950,866
PMC8712154.txt,951,893
PMC8712154.txt,952,139
PMC8712154.txt,953,820
PMC8712154.txt,954,363
PMC8712154.txt,955,893
PMC8712154.txt,956,602
PMC8712154.txt,957,174
PMC8712154.txt,958,875
PMC8712154.txt,959,742
PMC8712154.txt,960,434
PMC8712154.txt,961,602
PMC8712154.txt,962,168
PMC8712154.txt,963,987
PMC8712154.txt,964,999
PMC8712154.txt,965,304
PMC8712154.txt,966,602
PMC8712154.txt,967,573
PMC8712154.txt,968,164
PMC8712154.txt,969,949
PMC8712154.txt,970,941
PMC8712154.txt,971,781
PMC8712154.txt,972,371
PMC8712154.txt,973,573
PMC8712154.txt,974,1000
PMC8712154.txt,975,831
PMC8712154.txt,976,119
PMC8712154.txt,977,974
PMC8712154.txt,978,831
PMC8712154.txt,979,421
PMC8712154.txt,980,140
PMC8712154.txt,981,960
PMC8712154.txt,982,442
PMC8712154.txt,983,925
PMC8712154.txt,984,421
PMC8712154.txt,985,137
PMC8712154.txt,986,798
PMC8712154.txt,987,813
PMC8712154.txt,988,421
PMC8712154.txt,989,914
PMC10171269.txt,990,217
PMC10171269.txt,992,778
PMC10171269.txt,993,970
PMC10171269.txt,994,412
PMC10171269.txt,995,217
PMC10171269.txt,997,919
PMC10171269.txt,998,801
PMC10171269.txt,999,217
PMC10171269.txt,1001,948
PMC10171269.txt,1002,723
PMC10171269.txt,1003,951
PMC10171269.txt,1004,751
